,feat_sel_type,num_features,fold,metric,score
489,cell_ranger,5000,4,accuracy,0.9774590163934426
490,random_all_genes,20,4,accuracy,0.8942622950819672
491,random_all_genes,50,4,accuracy,0.9077868852459016
492,random_all_genes,100,4,accuracy,0.9336065573770492
493,random_all_genes,200,4,accuracy,0.944672131147541
494,random_all_genes,300,4,accuracy,0.9598360655737704
495,random_all_genes,400,4,accuracy,0.9581967213114754
496,random_all_genes,500,4,accuracy,0.956967213114754
497,random_all_genes,1000,4,accuracy,0.968032786885246
498,random_all_genes,2000,4,accuracy,0.968032786885246
499,random_all_genes,5000,4,accuracy,0.9733606557377048
500,seurat_v3,20,0,recall,0.0287786616752456
501,seurat_v3,50,0,recall,0.0500701918577445
502,seurat_v3,100,0,recall,0.089143659335517
503,seurat_v3,200,0,recall,0.8535329901731399
504,seurat_v3,300,0,recall,0.6778193729527375
505,seurat_v3,400,0,recall,0.6757136172204025
506,seurat_v3,500,0,recall,0.7952737482452036
507,seurat_v3,1000,0,recall,0.9188114178755264
508,seurat_v3,2000,0,recall,0.93378568086102
509,seurat_v3,5000,0,recall,0.9394010294805802
510,pearson_residuals,20,0,recall,0.1427234440804866
511,pearson_residuals,50,0,recall,0.3128217126813289
512,pearson_residuals,100,0,recall,0.4833879270004679
513,pearson_residuals,200,0,recall,0.9305100608329434
514,pearson_residuals,300,0,recall,0.9358914365933552
515,pearson_residuals,400,0,recall,0.9398689751988768
516,pearson_residuals,500,0,recall,0.9398689751988768
517,pearson_residuals,1000,0,recall,0.9412728123537668
518,pearson_residuals,2000,0,recall,0.943378568086102
519,pearson_residuals,5000,0,recall,0.9438465138043988
520,seurat,20,0,recall,0.5339260645765092
521,seurat,50,0,recall,0.5336920917173608
522,seurat,100,0,recall,0.8423022929340197
523,seurat,200,0,recall,0.7349087505849321
524,seurat,300,0,recall,0.7426298549368273
525,seurat,400,0,recall,0.8324754328497894
526,seurat,500,0,recall,0.8076743097800655
527,seurat,1000,0,recall,0.9312119794103884
528,seurat,2000,0,recall,0.9386991109031352
529,seurat,5000,0,recall,0.9417407580720636
530,cell_ranger,20,0,recall,0.0023397285914833
531,cell_ranger,50,0,recall,0.1406176883481516
532,cell_ranger,100,0,recall,0.2126813289658399
533,cell_ranger,200,0,recall,0.8778661675245671
534,cell_ranger,300,0,recall,0.913664014974263
535,cell_ranger,400,0,recall,0.9300421151146469
536,cell_ranger,500,0,recall,0.9356574637342068
537,cell_ranger,1000,0,recall,0.943378568086102
538,cell_ranger,2000,0,recall,0.9459522695367336
539,cell_ranger,5000,0,recall,0.9480580252690688
540,random_all_genes,20,0,recall,0.0397753860552176
541,random_all_genes,50,0,recall,0.4197473093121198
